Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
1,24,126529782,108219655,48.57792672,34.84556724
2,26,119904649,102625793,50.47391809,36.78008245
3,30,108569242,94575326,52.05683571,39.35320061
4,32,98139956,88897357,50.42845746,39.44585608
5,32,89341356,85419537,46.81494986,37.56465309
6,30,85335212,86025028,43.30813535,35.29404883
7,30,89044567,92524925,41.45019514,34.15305525
8,31,101098088,104916160,41.66325835,34.88758529
9,35,119683389,121327010,43.78211184,37.56693257
10,40,141609478,139106441,47.64697207,41.91032844
11,46,163631528,156061699,52.90327473,47.27151443
12,51,183404157,171070322,58.48840964,52.47766019
13,55,199439144,183560666,62.86263364,56.10357317
14,55,210281121,192401745,65.05631555,57.23459761
15,52,214456355,195901118,65.44804396,56.07680427
16,47,212013852,193578405,65.41555517,53.82906651
17,42,205782110,187666763,66.21438134,51.9222072
18,39,199985900,181947520,68.09846248,51.23358797
19,38,197149929,178799262,70.27986756,51.78663439
20,39,196705693,177780732,71.57827558,53.00514658
21,42,196745369,177207045,71.21028895,54.21845304
22,46,196874858,176836746,69.17950295,55.02094829
23,50,199402220,179040792,66.05200587,55.28712773
24,53,207727071,187318096,62.38178465,54.94459631
25,54,222632974,202762891,58.31688853,53.77434387
26,54,239130380,220944974,53.70873526,51.46251246
27,52,247529966,232674945,48.56951796,47.92737833
28,48,239635160,229620027,43.41341257,43.67263812
29,44,215437697,210685551,39.11669829,39.7722143
30,42,183978513,183337527,36.36447025,37.33254984
31,42,157319373,158585389,35.17487082,36.80838958
32,44,143238597,144327848,34.98095013,37.80016796
33,48,142819444,142609676,35.23468918,39.54689133
34,51,153505469,151751393,35.9662066,41.62934397
35,55,173034202,169688491,37.74680254,44.18681891
36,58,199993875,194693444,41.07203881,47.47980207
37,62,231322149,223419718,45.74155858,51.32419408
38,65,260661198,249603568,50.81674683,55.01949239
39,66,280470095,266144855,55.1960652,57.82375916
40,66,286492234,269348322,58.30492366,59.46882873
41,66,280274041,261228502,60.33305334,60.23145585
42,65,267113409,247336824,61.85389429,60.53765995
43,64,251404426,232074892,63.19051181,60.48577885
44,61,233958362,216034187,64.15612753,59.74497855
45,57,213625784,197650030,64.47093573,57.97821319
46,52,190901982,176873249,64.38701519,55.41356725
47,46,169447260,156838694,64.67502117,52.92678989
48,42,154398003,142359690,65.7851935,51.42673072
49,40,149978474,137608446,67.04570097,51.10446985
50,40,158671698,145170474,66.85755633,51.28884447
51,43,181068224,165734133,63.77766568,50.97102676
52,46,214456134,196690702,57.46502898,49.38309564
53,48,250985113,230492650,48.75368814,46.16855468
54,47,278768804,255901358,39.05900475,41.31137265
55,44,287311059,263266014,29.74070098,35.16686563
56,38,273738262,250326574,21.73742498,28.53960223
57,31,244476132,223467716,15.46038531,22.51886684
58,27,211081961,193457067,10.94967528,18.0958668
59,25,184370790,169886341,8.287102,15.91730282
60,26,171275840,158561371,7.963692581,16.32220275
61,30,174503064,161628631,10.73361402,19.38611959
62,35,192500593,177761674,16.91621552,24.74710579
63,40,219350960,201914213,25.7920957,31.45629901
64,44,246480790,226587546,35.79091832,38.24253833
65,47,266644387,245342154,45.35007023,44.11173427
66,48,277651612,256342417,53.55670347,48.7330754
67,49,282824785,262945074,59.98082147,52.25331955
68,51,287730589,270561236,64.15489783,54.81913007
69,52,295870062,282207392,65.597758,56.38503567
70,55,306900702,296485356,64.50037328,56.98744251
71,57,318382717,309453664,62.19259398,57.06971693
72,60,328226280,317775247,60.60689707,57.35869481
73,61,334513195,319402773,61.05638538,58.30523496
74,61,333345786,311749340,63.41865249,59.62034512
75,60,318892572,291184714,66.41469315,60.40678965
76,57,287770989,256317498,68.66205,59.85979243
77,52,244282475,212250463,69.63075661,57.99460499
78,47,200713300,170592697,69.85501417,55.78376712
79,44,171124123,143801226,70.35811475,54.53617726
80,43,163324306,138158835,71.80775288,55.01000312
81,45,175328838,151001203,74.09542817,57.01055337
82,48,198204635,173667112,76.59041237,59.72376447
83,52,221933028,196923318,78.59408182,62.27250417
84,54,239818564,214821602,79.37019151,63.87332882
85,55,249588178,225462966,77.83445566,63.64131083
86,54,251890364,229496803,72.67098492,60.63921842
87,51,247863261,227943370,63.30042055,54.46826808
88,45,237683083,220963690,51.00099735,45.93228161
89,38,221459507,208648089,38.91285229,37.02312337
90,32,201780970,193194596,30.50252479,30.04158457
91,28,185079125,180099222,27.58414606,26.48930129
92,26,179400204,176280354,29.51611831,26.54992666
93,27,189326210,185659824,34.06324349,29.34485777
94,31,211898678,205470711,38.89734078,33.48330732
95,36,237366010,226780472,42.4708541,37.47392349
96,40,254780477,239516152,44.03578614,40.04264941
97,41,258104335,238207420,43.43801885,40.51813752
98,41,248195812,224069740,41.13167185,39.1304061
99,39,230310835,202784887,38.22197369,36.92625231
100,38,210505264,180948428,36.15475704,35.26135059
101,37,193592888,163787593,36.04227463,35.12478181
102,39,182427480,154216040,38.06212788,36.64176627
103,40,177463132,152401878,41.41172233,39.03314907
104,41,176762874,155943245,44.86071631,41.08957704
105,40,177145037,161162300,47.441775,41.88176732
106,37,176301635,165287927,48.78201421,41.25148216
107,34,174730441,168381635,48.9897144,39.80652663
108,32,175938251,173475570,48.37561519,38.49440959
109,32,184053114,184141316,47.29334356,38.05979001
110,35,200071494,200870193,46.14098748,38.69751845
111,38,219895535,219422075,45.34077065,40.04141275
112,41,236369712,233066489,45.1526977,41.4196791
113,43,243900106,237021427,45.4904392,42.22553582
114,42,241674881,231247267,46.04092847,42.25289884
115,41,232741747,219305600,46.58895671,41.77936919
116,39,219970123,204507279,47.04837606,41.20604181
117,37,202795958,186909002,47.06458376,40.45937648
118,35,178061462,164033779,45.78067017,38.78782683
119,31,144399841,134799035,42.30656121,35.33342884
120,26,105860723,102782741,36.53340671,30.00686466
121,20,70851290,75190268,29.42370078,23.77196003
122,15,47034019,58077792,22.48207565,18.052311
123,12,36881262,52363020,16.98128868,13.89418666
124,10,37851981,54525515,13.61728262,11.66733222
125,11,46545824,61198646,12.64076138,11.38114073
126,13,62504134,72996533,14.03779337,13.04898521
127,17,88004079,93777784,17.50867475,16.64899948
128,23,124206708,126041502,22.43275895,21.82922879
129,30,167492218,166819527,28.06086827,27.81615209
130,37,209769002,208024260,33.82481831,33.715665
131,42,243068779,241267164,39.46624658,38.96506155
